suburb,min12,min6,min4,min3,max12,max6,max4,max3,std12,std6,std4,std3,mean12,mean6,mean4,mean3,med12,med6,med4,med3,var12,var6,var4,var3,linreg12,linreg6,linreg4,linreg3,dist_syd_cbd,pprev_up2,prev_up2,Ypred2,Threshold
TUMBARUMBA,0.236537313,0.197045318,0.194068731,0.178016726,0.178617739,0.164937759,0.164711601,0.137394686,0.096370892,0.117887032,0.119192714,0.049864973,0.2222039,0.192922986,0.176943561,0.156311688,0.223727724,0.191868699,0.167359922,0.161639344,0.010688839,0.014657691,0.014947139,0.002602061,0.223992641,0.195600161,0.179865693,0.16267026,0.001228715,0,0,0.99995935,1
TUMBI UMBI,0.120358209,0.106608105,0.103296263,0.094752321,0.084219398,0.084219398,0.080362929,0.080362929,0.035387495,0.045203868,0.0444676,0.055165733,0.107308244,0.101045836,0.093348747,0.086753247,0.106604814,0.101308006,0.0922437,0.08852459,0.001801634,0.002358965,0.002276958,0.003170373,0.107696633,0.10161465,0.091561711,0.085384382,0.00278336,0,1,0,0
TUMUT,0.423283582,0.373228189,0.513325318,0.470866648,0.362681535,0.362681535,0.362929358,0.362929358,0.266173918,0.295959027,0.094450149,0.11051061,0.437786516,0.4347057,0.446399818,0.417727273,0.426648907,0.451387153,0.444988174,0.440163934,0.073992048,0.089115259,0.009523882,0.012452321,0.437365984,0.429875008,0.445584119,0.432477244,0.000797553,1,0,0,0
TUNCURRY,0.093731343,0.088640447,0.085261998,0.078209723,0.065093361,0.064445021,0.064808814,0.064808814,0.026671159,0.026615038,0.034073293,0.042717607,0.087234135,0.080293384,0.075774225,0.070441558,0.088071835,0.080507165,0.074653576,0.07147541,0.001129138,0.000897781,0.001393048,0.001924522,0.08758579,0.080771284,0.07547721,0.072912951,0.007419675,0,1,0.93578553,1
TURA BEACH,0.272358209,0.226991415,0.224125839,0.205587722,0.203189834,0.190741701,0.171885936,0.170447181,0.095747756,0.105252742,0.086598189,0.09301286,0.263267884,0.223335401,0.205920482,0.189896104,0.258818666,0.222369408,0.207854172,0.201229508,0.010561021,0.011766714,0.008056958,0.008857131,0.265725637,0.225761536,0.207336932,0.199608947,0.000690176,0,0,0.00873813,0
TUROSS HEAD,0.2,0.166500299,0.16341048,0.149894311,0.146460062,0.140625,0.13933895,0.118859365,0.068463522,0.092242052,0.093696372,0.060390755,0.189967916,0.167388341,0.154122456,0.137766234,0.190447272,0.166161293,0.150721801,0.151639344,0.005713645,0.009120828,0.009377747,0.003785428,0.191290034,0.169157641,0.155135125,0.140660299,0.00144631,0,0,0.001021922,0
TURRAMURRA,0.118985075,0.113645438,0.110359683,0.105321202,0.075466805,0.075466805,0.075826312,0.075826312,0.025800422,0.014030769,0.017285215,0.014862795,0.104471937,0.097261375,0.093090706,0.089532468,0.105915855,0.094892943,0.091713563,0.093606557,0.001070171,0.000298011,0.000418547,0.000256611,0.104798595,0.097339387,0.091648038,0.09228066,0.004172841,1,0,0.000117421,0
TURVEY PARK,0.04358209,0.042723098,0.039174431,0.035934197,0.026938537,0.026938537,0.025923526,0.025923526,0.008588953,0.007887246,0.008412602,0.011480844,0.037458421,0.035652873,0.032657611,0.03038961,0.037134852,0.03524119,0.032705326,0.031967213,0.00021081,0.000119423,0.000129589,0.000159487,0.037586506,0.03606849,0.032450066,0.031878773,0.00786871,0,1,8.31E-06,0
TWEED HEADS SOUTH,0.023880597,0.029147534,0.025548542,0.023435346,0.019061203,0.019061203,0.019442644,0.019442644,0.009536926,0.009507898,0.013730951,0.019802347,0.024985498,0.023383323,0.021324471,0.020623377,0.026088554,0.021911189,0.019941277,0.020491803,0.000242973,0.000159258,0.000284024,0.00043947,0.025114327,0.023734595,0.021200225,0.022815848,0.021039663,1,0,0.25814134,0
TWEED HEADS WEST,0.118447761,0.108604512,0.10530007,0.096590387,0.072225104,0.072225104,0.068049255,0.067401167,0.013289057,0.013976178,0.006950529,0.008106144,0.101375667,0.09122174,0.085999752,0.080623377,0.101093147,0.089394318,0.084658674,0.083934426,0.000387626,0.000296095,9.70E-05,8.53E-05,0.101964964,0.091663209,0.085200734,0.082636439,0.002514626,0,1,0,0
